1100	10115	-t
1101	10115	-aa 2
1102	10116	haa
1103	10116	waa
1104	10116	aan 1
1105	10116	cabb-
1106	10116	-aa 2
1107	10117	cabb-
1108	10117	-Ø 3
1109	10119	tir-
1110	10119	-o
1111	10119	idl-
1112	10120	dal
1113	10120	-ka
1114	10120	oo
1115	10120	idl-
1116	10121	dal
1117	10121	-ka
1118	10121	oo
1119	10121	dhamm-
1121	10122	ku
1122	10122	bood-
1123	10123	bood-
1124	10123	-a
1125	10124	ka
1126	10124	bood-
1127	10124	-Ø 3
1128	10125	ka
1129	10125	soo
1130	10125	bood-
1131	10125	-Ø 3
1132	10126	ka
1133	10126	bax-
1134	10127	waa
1135	10127	uu
1136	10127	bood-
1137	10127	-ay 1
1138	10127	-aa 2
1139	10128	waa
1140	10128	uu
1141	10128	bood-
1142	10128	-aa 2
1143	10129	waa
1144	10129	bood-
1145	10129	-t
1146	10129	-aa 2
1147	10130	waa
1148	10130	ka
1149	10130	bood-
1150	10130	-aa 2
1151	10131	waa
1152	10131	ka
1153	10131	bood-
1154	10131	-t
1155	10131	-aa 2
1156	10132	waa
1157	10132	ka
1158	10132	bood-
1159	10132	-ay 2
1160	10133	waa
1161	10133	aan 1
1162	10133	ka
1163	10133	bood-
1164	10133	-ay 2
1165	10134	joog-
1166	10134	-Ø 3
1167	10135	ka
1168	10135	joog-
1169	10135	-sad-
1170	10135	-o 3
1171	10137	waa
1172	10137	aan 1
1173	10137	ord-
1174	10137	-i 2
1175	10137	doon-
1176	10137	-aa 2
1177	10138	waa
1178	10138	aan 1
1179	10138	ord-
1180	10138	-ay 2
1181	10139	waa 
1182	10139	aan 1
1183	10139	ord-
1184	10139	-aa 2
1185	10140	waa
1186	10140	aan 1
1187	10140	ord-
1188	10140	-ay 1
1189	10140	-aa 2
1190	10144	waa
1191	10144	eeg-
1192	10144	-ee 2
1193	10144	-n 2
1194	10145	waa
1195	10145	eeg-
1196	10145	-ay 2
1197	10146	eeg-
1198	10146	-a
1199	10147	farii-
1200	10147	-sad-
1201	10147	-o 3
1202	10148	fiir-
1203	10148	-i 3
1204	10148	-Ø 3
1205	10149	gabdh-
1206	10149	-ta
1207	10150	gabdh-
1208	10151	waa
1209	10151	ka
1210	10151	joog-
1211	10151	-ay 2
1212	10152	waa
1213	10152	aan 1
1214	10152	ka
1215	10152	joog-
1216	10152	-ay 2
1217	10153	ani-
1218	10153	-ka
1219	10153	-u
1220	10153	waa
1221	10153	aan 1
1222	10153	ka
1223	10153	joog-
1224	10153	-ay 2
1225	10154	ani-
1226	10154	-ka
1227	10154	-u
1228	10154	waa
1229	10154	ka
1230	10154	joog-
1231	10154	-ay 2
1232	10155	waa
1233	10155	uu
1234	10155	ka
1235	10155	joog-
1236	10155	-ay 2
1237	10156	isa-
1238	10156	-ka
1239	10156	-u
1240	10156	waa
1241	10156	ka
1242	10156	joog-
1243	10156	-ay 2
1244	10157	waa
1245	10157	ka
1246	10157	joog-
1247	10157	-aa 2
1248	10158	waa
1249	10158	ka
1250	10158	joog-
1251	10158	-t
1252	10158	-aa 2
1253	10159	waa
1254	10159	ka
1255	10159	joog-
1256	10159	-sad-
1257	10159	-n
1258	10159	-ay 1
1259	10159	-aa 2
1260	10160	joog-
1261	10160	-sad-
1262	10160	-o 3
1263	10161	ka
1264	10161	joog-
1265	10161	-Ø 3
1267	10162	ku
1268	10162	joog-
1269	10164	waa
1270	10164	ka
1271	10164	bood-
1272	10164	-i 2
1273	10164	doon-
1274	10164	-aa 2
1275	10165	waa
1276	10165	ka
1277	10165	bood-
1278	10165	-ee 2
1279	10165	-n 2
1280	10166	waa
1281	10166	ay
1282	10166	ka
1283	10166	bood-
1284	10166	-ee 2
1285	10166	-n 2
1286	10167	waa
1287	10167	ka
1288	10167	bood-
1289	10167	-t
1290	10167	-ay 2
1291	10168	waa
1292	10168	ay
1293	10168	ka
1294	10168	bood-
1295	10168	-t
1296	10168	-ay 2
1297	10169	waa
1298	10169	uu
1299	10169	ka
1300	10169	bood-
1301	10169	-ay 2
1302	10173	hees-
1303	10173	-a
1304	10174	waa
1305	10174	aan 1
1306	10174	hees-
1307	10174	-ay 1
1308	10174	-aa 2
1309	10175	waa
1310	10175	aan 1
1311	10175	hees-
1312	10175	-aa 2
1313	10176	waa
1314	10176	aan 1
1315	10176	hees-
1316	10176	-ay 2
1317	10177	waa
1318	10177	ay
1319	10177	hees-
1320	10177	-ee 2
1321	10177	-n 2
1322	10178	waa
1323	10178	aan 1
1324	10178	hees-
1325	10178	-i 2
1326	10178	doon-
1327	10178	-aa 2
1328	10180	hees-
1329	10180	-id
1330	10181	hel-
1331	10181	-a
1332	10183	waa
1333	10183	ay
1334	10183	hel-
1335	10183	-ee 2
1336	10183	-n 2
1337	10184	waa
1338	10184	aan 1
1339	10184	hel-
1340	10184	-i 2
1341	10184	doon-
1342	10184	-aa 2
1343	10186	soor
1344	10187	mushaari
1345	10188	boorash
1346	10189	iib-
1347	10189	-sad-
1348	10189	-n
1349	10189	-ay 1
1350	10189	-aa 2
1351	10191	ma?
1352	10191	iib-
1353	10191	-sad-
1354	10191	-t
1355	10191	-ay 2
1356	10191	beer 2
1357	10191	-ta
1358	10192	beer 2
1359	10192	-ta
